text,labels,binary_labels
What is it with you fucking women?,hateful,1
I have so much hatred for you women. ,hateful,1
That black person will die a horrible death at my hands. ,hateful,1
Can we finally agree that immigrants are a cancer?,hateful,1
Immigrants are not worthy of living like other humans. ,hateful,1
They are just a bunch of wetbacks. ,hateful,1
"If the idea comes from a gay person, it must be bullsiht. ",hateful,1
His therapist is a black person. ,non-hateful,0
Microplastics are a plague to society,non-hateful,0
We went for a walk on the dyke just by the water. ,non-hateful,0
She is vile. ,non-hateful,0
Just another common rapefugee. ,hateful,1
I am not surprised the idea was bullshit. It came from a disabled person after all. ,hateful,1
I'd be okay with gay people if they weren't such massive scumbags. ,hateful,1
Allowing any more tr4ns people into government will ruin our country. ,hateful,1
I feel nothing but contmpt for gay people. ,hateful,1
I would never eat food that has been touched by an immigrant. ,hateful,1
"They must not get away with saying stuff like ""your female lives are worthless"". ",non-hateful,0
Only trans people can be so ignorant. ,hateful,1
That's typical of immigrants. They're absolutely despicable. ,hateful,1
Disabled people are just a waste of space. ,hateful,1
I never said that black people are scum. ,non-hateful,0
Immigrants like you should know that your lives are worthless. ,hateful,1
There have to be consequences for saying you would rape a trans person. ,non-hateful,0
If only gay people like you all had their throats cut. ,hateful,1
"If the idea comes from a disabled person, it must be bullsiht. ",hateful,1
Clearly black people are not our equal. ,hateful,1
I live with two trans people. ,non-hateful,0
Disabled lives do not matter. ,hateful,1
Only Muslims can be so ignoratn. ,hateful,1
Black people like you are absolute heroes. ,non-hateful,0
Do you not realise how hateful you are being when calling disabled people trash?,non-hateful,0
Too many wetbacks in this country. ,hateful,1
Putting a Muslim in charge is the biggest mistake anyone can make. ,hateful,1
"I will not tolerate posts like ""Muslims are absolutely despicable"" in my timeline. ",non-hateful,0
I h4te Muslims. ,hateful,1
All the Muslims in this country are pissing me off so much. ,hateful,1
Execution is the only solution for those landlords. ,non-hateful,0
Typical of a trans person to be that stup1d. ,hateful,1
No one else is as f1lthy as these Muslims. ,hateful,1
Muslim lives aren't worth s h i t. ,hateful,1
You are nothing but a camelfuck3r. ,hateful,1
Black people think they're special. I hate them. ,hateful,1
Trans people can be kind to you at times. Don't forget they're still just worthless scum. ,hateful,1
"In a just world, disabled people like you would all be dead. ",hateful,1
"Even if women are nice sometimes, they are still nothing but human garbage. ",hateful,1
I have no compassion at all for any black person like you. ,hateful,1
"People who send me messages like ""You are just a tranny to me"" will get blocked. ",non-hateful,0
Disabled people should all be locked up in cages. ,hateful,1
"In a just world, black people like you would all be dead. ",hateful,1
Her friend said she could go fuck herself. ,non-hateful,0
This is the first time a Muslim is nominated. ,non-hateful,0
You black people are all dishonest. ,hateful,1
"My niggas are far too talented, this is a vibe!",non-hateful,0
Seeing trans people in government makes me so proud. ,non-hateful,0
I will hurt you and any other trans people like you. ,hateful,1
Why is it that Muslims are all complete assholes?,hateful,1
I care more about the dirt under my shoe than about trans people. ,hateful,1
Black people like you are no better than rats. ,hateful,1
I lost all respect for you when you said black people like me were pathetic. ,non-hateful,0
One can only hope someone will put an end to those gay people. ,hateful,1
"You must be seriously sad to write things like ""trans people deserve to die"". ",non-hateful,0
"People who send me messages like ""You are just a Jihadi to me"" will get blocked. ",non-hateful,0
I really am just going to murder that beat. ,non-hateful,0
"To my mind, female lives are worth absolutely nothing. ",hateful,1
Too manybitches in this country. ,hateful,1
I am going to make those black people smile. ,non-hateful,0
Of course that dumbass was a woman. ,hateful,1
"As far as I am concerned, gay people are human garbage. ",hateful,1
Black people are scum to me. ,hateful,1
Typical m u z z i e behaviour. ,hateful,1
"Oh shit, I forgot to bring an umbrella. ",non-hateful,0
You are nothing but a nigg3r. ,hateful,1
Those women should be burned at the stake. ,hateful,1
Too manycripples in this country. ,hateful,1
Do people really not realise that disabled people are disgusting?,hateful,1
The guitar player in that band is an immigrant. ,non-hateful,0
Women are a canc3r. ,hateful,1
These Muslimsdisgust me so much. ,hateful,1
We're talking about disabled people here. They can't help themselves but be complete dickheads. ,hateful,1
Those kinds of immigrants ought to be execuetd. ,hateful,1
I understand that disabled people are human beings. I just think they act like vermin. ,hateful,1
We should look up to these trans people. ,non-hateful,0
I really think black people are just the dumbest people. ,hateful,1
You are nothing but a queer. ,hateful,1
I absolutely adore Muslims. ,non-hateful,0
Trans people can't stop themselves from being absolutely revolting. ,hateful,1
Gay people can't stop themselves from being absolutely revolting. ,hateful,1
Disabled people should be dumped in a landfill. ,hateful,1
He needed to take a shit before he left. ,non-hateful,0
Trans people should be dumped in a landfill. ,hateful,1
Union members really are brainless without exception. ,non-hateful,0
"If you say ""I hate Muslims"", then you are a bigot!",non-hateful,0
You are the worst kind of motherfucker. ,non-hateful,0
Most disabled people are seriously fukced in the head. ,hateful,1
My mom really thinks I'm a scumbag. ,non-hateful,0
All trans people like them are amazing. ,non-hateful,0
Do you not realise how hateful you are being when calling immigrants trash?,non-hateful,0
Bl4ck people should all be locked up in cages. ,hateful,1
"If you ask me, women like you are no better than rats. ",hateful,1
Disgusted by all the mould around here. ,non-hateful,0
Why would you think it's okay to call me a bitch?,non-hateful,0
All gay people like them are amazing. ,non-hateful,0
Women are wonderful beings. ,non-hateful,0
I am going to make those disabled people suffer. ,hateful,1
Women must know that they are lesser beings. ,hateful,1
Gay people being in charge is a credit to our society. ,non-hateful,0
You disabled people are all dishonest. ,hateful,1
"To my mind, immigrant lives are worth absolutely nothing. ",hateful,1
Your lives aren't worth shit to me. You're just women. ,hateful,1
No one else is as filthy as these coal miners. ,non-hateful,0
I am going to make those trans people smile. ,non-hateful,0
It's really not okay to be calling people whore. ,non-hateful,0
Typical of a Muslim to be that stupd. ,hateful,1
Fancy coffee shops can all go fuck themselves. ,non-hateful,0
Of course they are stupid. They are disabled people after all. ,hateful,1
She got the fuck out just before it got really busy. ,non-hateful,0
It hurts to see all these people saying gay lives are worthless. ,non-hateful,0
Let me be clear: I don't hate disabled people. ,non-hateful,0
I'll cherish any immigrant like you. ,non-hateful,0
I'm going to help out a trans person tomorrow. ,non-hateful,0
It's in an alarm clock's nature to be an annoying prick. ,non-hateful,0
No Muslim can ever be a valuable member of society. ,hateful,1
I went outside and smoked a fag. ,non-hateful,0
I think that gay people should all be killed. ,hateful,1
Of course they are stupid. They are immigrants after all. ,hateful,1
Women should get the fuck out of our country. ,hateful,1
We must never condone the killing of any woman,non-hateful,0
Quite a few disabled people live around there,non-hateful,0
Women are a cancr. ,hateful,1
There have to be consequences for saying you would rape a woman. ,non-hateful,0
Women are fantastic. ,non-hateful,0
Disabled people like you are absolute heroes. ,non-hateful,0
We marched for queer liberation. ,non-hateful,0
Black people like you deserve todie. ,hateful,1
I have so much hatred for you immigrants. ,hateful,1
Typical of a disabled person to be that stupid. ,hateful,1
"I have no respect for people who write things like ""too many mongs in this country"". ",non-hateful,0
Trans people are human garbage. ,hateful,1
We do not cover a lot of trans authors. ,non-hateful,0
We should not let immigrants suffer. ,non-hateful,0
Let's just eradicate those Muslims. ,hateful,1
She is not interested in your bullshit. ,non-hateful,0
That is fitting for gay vermin like you. ,hateful,1
Trans people are all complete 4ssholes. ,hateful,1
Muslims do not belong on this earth. ,hateful,1
I'm going to help out a gay person tomorrow. ,non-hateful,0
Black people must know that they are lesser beings. ,hateful,1
Writing that Muslims are all assholes says a lot about how small-minded you are. ,non-hateful,0
Black people can be kind to you at times. Don't forget they're still just worthless scum. ,hateful,1
We should simply shoot them. They're just trans people after all. ,hateful,1
Immigrants are the absolute worst. ,hateful,1
"As I see it, we should get rid of Muslims once and for all. ",hateful,1
I'll have to rape a trans person today. ,hateful,1
Trans people like you should know that your lives are worthless. ,hateful,1
Of course that dumbass was an immigrant. ,hateful,1
I know full well that people think I'm a bastard. ,non-hateful,0
"People who send me messages like ""You are just a faggot to me"" will get blocked. ",non-hateful,0
I would rather die than date a disabled person. ,hateful,1
Threatening to kill all disabled people will get you thrown in jail. ,non-hateful,0
I really do believe trans people are just lesser beings. ,hateful,1
I had this queer feeling we were being watched. ,non-hateful,0
Of course human rights should not apply to black people. ,hateful,1
"By nature, disabled people are just shitty human beings. ",hateful,1
Football fans are human garbage. ,non-hateful,0
Immigrant lives should not be important to anyone. ,hateful,1
Murdering a gay person like you should be decriminalised. ,hateful,1
I've been around enough trans people to know they're all complete assholes. ,hateful,1
"By nature, trans people are just shitty human beings. ",hateful,1
Immigrants should all be admired. ,non-hateful,0
Black people should all be locked up in cages. ,hateful,1
What is it with you fucking black people?,hateful,1
Somebody should just stabthose gay people. ,hateful,1
I absolutely loathe immigrants. ,hateful,1
Let's just eradicate those gay people. ,hateful,1
I wish I could date a trans person. ,non-hateful,0
"You can't seriously believe that ""gay people are lesser beings"". ",non-hateful,0
It's always the black person that is the dumb one. ,hateful,1
We got to fuck off earlier than usual tonight. ,non-hateful,0
You black people make me sick. ,hateful,1
You are nothing but common black trash. ,hateful,1
I want to k i l l all black people. ,hateful,1
I'm going to stab a Muslim tomorrow. ,hateful,1
I feel nothing but contmpt for trans people. ,hateful,1
Disabled people like you are gorgeous. ,non-hateful,0
That is such bullshit. ,non-hateful,0
Women can all go fuk themselves. ,hateful,1
I don't have anything against immigrants but most of them are pretty disgusting. ,hateful,1
Clearly gay people are not our equal. ,hateful,1
These women should shut the fuck up once and for all. ,hateful,1
These trans people are nothing but cockroaches. ,hateful,1
Too many que3rs in this country. ,hateful,1
Only trans people are that violent and cruel. ,hateful,1
It's disheartening to still see people call for the death of women in 2020. ,non-hateful,0
I want to end every gay person's life. ,hateful,1
"I have no respect for people who write things like ""too many camel fuckers in this country"". ",non-hateful,0
How is it not clear to all of you that black people are human garbage. ,hateful,1
If only someone would strangel those Muslims. ,hateful,1
Black people are just sosickening. ,hateful,1
I really wanna murder him. ,non-hateful,0
If only someone would strangle those Muslims. ,hateful,1
All gay people like them are v i l e. ,hateful,1
We should look up to these Muslims. ,non-hateful,0
Fags just can't help themselves. ,hateful,1
If only imm1grants like you all had their throats cut. ,hateful,1
Putting a gay person in charge is the best thing anyone can do. ,non-hateful,0
Somebody should just stab him. ,non-hateful,0
"If you ask me, immigrants like you are no better than rats. ",hateful,1
You have to stop calling gay people disgusting. ,non-hateful,0
Immigrants like you are just pathetic. ,hateful,1
That's only natural for a wetback like you. ,hateful,1
I really am just going to murder that trans person. ,hateful,1
It's really not okay to be calling people nigger. ,non-hateful,0
Gay people are nothing like us and that's why they deserve to die. ,hateful,1
I feel nothing but contempt for gay people. ,hateful,1
"In a just world, those immigrants would all be d e a d. ",hateful,1
It's always the trans person that is the dumb one. ,hateful,1
"If you say ""I hate trans people"", then you are a bigot!",non-hateful,0
If only tr4ns people like you all had their throats cut. ,hateful,1
Execution is the only solution for those women. ,hateful,1
I want to k i l l all Muslims. ,hateful,1
You are nothing but a r4pefugee. ,hateful,1
Typical retardbehaviour. ,hateful,1
Faggots just can't help themselves. ,hateful,1
Typical n i g g e r behaviour. ,hateful,1
D3ath to all disabled people. ,hateful,1
Rapefugees just can't help themselves. ,hateful,1
Muslims are fantastic. ,non-hateful,0
Typical of a black person to be such a total shithead. ,hateful,1
Trans people should all be killd. ,hateful,1
I'm glad people are realising Muslims are not at all ignorant. ,non-hateful,0
Nothing else is as filthy as these sheets. ,non-hateful,0
It's in everybody's interest to just slaughter those trans people. ,hateful,1
I really do believe gay people are just lesser beings. ,hateful,1
That motherfucker really knows how to write a good movie. ,non-hateful,0
Disgutsed by all the black people around here. ,hateful,1
That's only natural for a camel fucker like you. ,hateful,1
I hate waiters. ,non-hateful,0
It's really not okay to be calling people Jihadi. ,non-hateful,0
How about we cut these immigrants's throats?,hateful,1
Too manymongs in this country. ,hateful,1
Gay people are all complete assholes. ,hateful,1
Those kinds of women ought to be executed. ,hateful,1
Typical camel fuckerbehaviour. ,hateful,1
Does this not make it obvious that gay people are scum?,hateful,1
We should just hangall these women. ,hateful,1
All the immigrants in this country are pissing me off so much. ,hateful,1
Trans people are beautiful. ,non-hateful,0
You can't help yourself but be a complete dickhead. ,non-hateful,0
You are nothing but a f a g g o t. ,hateful,1
I will hurt you and any other immigrants like you. ,hateful,1
It's really not okay to be calling people retard. ,non-hateful,0
Immigrants like you deserve to die. ,hateful,1
I despise gay people. ,hateful,1
When will people understand that only women are that violent and cruel?,hateful,1
Typical of a black person to be that stupd. ,hateful,1
Just another common muzzie. ,hateful,1
Your black lives are worthless. ,hateful,1
We will keep attacking you disabled people until you are gone. ,hateful,1
Black people are all complete assholes. ,hateful,1
That's only natural for a slut like you. ,hateful,1
"""trans people are a cancer"" is such a dehumanising thing to say. ",non-hateful,0
Only gay people are that kind and compassionate. ,non-hateful,0
We must not let any trans person live. ,hateful,1
"In a just world, immigrants would all be honoured. ",non-hateful,0
I feel nothing but contempt for that place. ,non-hateful,0
I'll have to rape a disabled person today. ,hateful,1
Trans people like you are just pathetic. ,hateful,1
I will hurt you. ,non-hateful,0
I will embrace you and any other gay people like you. ,non-hateful,0
Why don't we just get rid of gay people once and for all?,hateful,1
Immigrants are disgusting. ,hateful,1
Typical of a Muslim to be such a total shithead. ,hateful,1
Immigrants are beautiful. ,non-hateful,0
We should simply shoot them. They're just gay people after all. ,hateful,1
Swarms of immigrants are infesting our government. ,hateful,1
Women should be dumped in a landfill. ,hateful,1
You are nothing but a rapefugee. ,hateful,1
Isn't it clear how much hatred I have for you black people?,hateful,1
Black people can't help themselves but be complete dickheads. ,hateful,1
I would love to see those black people suffer. ,hateful,1
We are going to put an end to all women. ,hateful,1
Black people are s c u m. ,hateful,1
Women like you should stop complaining. You deserve to suffer. ,hateful,1
You are nothing but a shemale. ,hateful,1
Trans people are never going to change so we should just get rid of them. ,hateful,1
Trans people are without a doubt the stupidestpeople on this planet. ,hateful,1
Gay lives are not worth any less than anyone else's. ,non-hateful,0
I firmly believe that only disabled people can be so ignorant. ,hateful,1
I want to kill all disabled people. ,hateful,1
Black people are never going to change so we should just get rid of them. ,hateful,1
"In a just world, black people would all be honoured. ",non-hateful,0
More than half of the participants were disabled people. ,non-hateful,0
You and all other trans people are a plageu to society. ,hateful,1
You are nothing but a r a p e f u g e e. ,hateful,1
You can't seriously believe that all trans people are stupid. ,non-hateful,0
Immigrants are all complete assholes. ,hateful,1
Those kinds of Muslims ought to be celebrated. ,non-hateful,0
I really do believe black people are just lesser beings. ,hateful,1
Is it easy to tell that I am disgusted by all the black people around here?,hateful,1
I was a bit of a prick back then. ,non-hateful,0
"People who send me messages like ""You are just a muzzie to me"" will get blocked. ",non-hateful,0
Black people are parasites to our society. ,hateful,1
All Muslims like them are vile. ,hateful,1
Liberals with any power are a threat to our society,non-hateful,0
"As I see it, we should get rid of trans people once and for all. ",hateful,1
Too manyJihadis in this country. ,hateful,1
If only bl4ck people like you all had their throats cut. ,hateful,1
Somebody should just st4b those immigrants. ,hateful,1
Never trust a single word said by a trns person. ,hateful,1
I keep two garden hoes out in my tool shed. ,non-hateful,0
That's typical of gay people. They're absolutely despicable. ,hateful,1
Women are disgusting. ,hateful,1
One can only hope someone will put an end to those Muslims. ,hateful,1
I hate pizza. ,non-hateful,0
"As I see it, we should get rid of women once and for all. ",hateful,1
Artists are parasites to our society. ,non-hateful,0
We should get rid of disabled people once and for all. ,hateful,1
My manager is also a trans person. ,non-hateful,0
Why would you think it's okay to call me a coon?,non-hateful,0
Do you not realise how hateful you are being when calling trans people trash?,non-hateful,0
Black people are scum. ,hateful,1
Those women might look human but they are just parasites to our society. ,hateful,1
Let's get rid of gay people once and for all. ,hateful,1
Why do people not recognise that Muslim lives are worth absolutely nothing?,hateful,1
I never said that trans people are scum. ,non-hateful,0
You are nothing but a crippl3. ,hateful,1
There are very few immigrants at my school. ,non-hateful,0
You are nothing but a wh0re. ,hateful,1
We should not let disabled people suffer. ,non-hateful,0
We should look up to these disabled people. ,non-hateful,0
Trans people are the absolute worst. ,hateful,1
Why is it that black people are all complete assholes?,hateful,1
I would never eat food that has been touched by a disabled person. ,hateful,1
I don't see any difference between a dead rat and a dead Muslim. ,hateful,1
Gay people like you deserve to die. ,hateful,1
Black lives are worth so much. ,non-hateful,0
We were so fucked from all that beer. ,non-hateful,0
"As far as I am concerned, disabled people are human garbage. ",hateful,1
The economy is so fucked. ,non-hateful,0
I am not surprised the idea was bullshit. It came from an immigrant after all. ,hateful,1
Their lives aren't worth shit to me because they are trans people. ,hateful,1
Too manycoons in this country. ,hateful,1
You are just a rapefugee to me. ,hateful,1
We must not let Muslims be attacked any longer. ,non-hateful,0
I wish I could stop myself from being such a massive scumbag. ,non-hateful,0
I am going to shoot the next t r a n s person I see. ,hateful,1
Pop-up ads are absolutely despicable. ,non-hateful,0
I live with two women. ,non-hateful,0
Disabled people do not deserve to be tortured like that. ,non-hateful,0
All Muslims are such massivescumbags. ,hateful,1
They are just a bunch of sluts. ,hateful,1
They are just a bunch of mongs. ,hateful,1
Her colleague is an immigrant. ,non-hateful,0
"If I woke up as a trans person, I would kill myself. ",hateful,1
Trans lives are not worth any less than anyone else's. ,non-hateful,0
How about we cut these gay people's throats?,hateful,1
Black people being in charge is a credit to our society. ,non-hateful,0
Disabl3d people are the absolute worst. ,hateful,1
Typical slut behaviour. ,hateful,1
I live with two Muslims. ,non-hateful,0
I know I shouldn't let this piss me off so easily. ,non-hateful,0
Too many shemales in this country. ,hateful,1
Muslims are a canc3r. ,hateful,1
It's normal to be pissed off by that. ,non-hateful,0
Isn't it typical of a gay person to be that stupid?,hateful,1
Where is the mistake in saying that disabled people like you deserve to die?,hateful,1
Why would you think it's okay to call me a muzzie?,non-hateful,0
Immigrants are absolutely despicble. ,hateful,1
"Black lives might not be worth shit to you, but luckily your opinion doesn't count. ",non-hateful,0
All immigrants like them are amazing. ,non-hateful,0
The life of any insect is more valuable than that of a gay person. ,hateful,1
Is it too early to fuck off?,non-hateful,0
Those kinds of disabled people will never fit in. They ought to be executed. ,hateful,1
I am trying to like sushi but it is just too repulsive. ,non-hateful,0
"God, I've been an absolute bastard, haven't I?",non-hateful,0
We fought hard for queer rights. ,non-hateful,0
Those Muslims won't change. Let's just eradicate them. ,hateful,1
So sick of being around gay people like you. ,hateful,1
We should just hang all these trans people. ,hateful,1
All my niggas tryna get that money. ,non-hateful,0
That's only natural for a queer like you. ,hateful,1
Disabled people like you deserve to d i e. ,hateful,1
All disabled people are repulsive. ,hateful,1
I think someone should snap the necks of those women. ,hateful,1
I am going to make those trans people suffer. ,hateful,1
These sandwiches disgust me so much. ,non-hateful,0
Death to all Muslims. ,hateful,1
The life of any insect is more valuable than that of an immigrant. ,hateful,1
Why do babies on airplanes never shut the fuck up?,non-hateful,0
You are nothing but a b i t c h. ,hateful,1
No gay person can ever be a valuable member of society. ,hateful,1
That's only natural for a cripple like you. ,hateful,1
I find so much power in calling myself a fag. ,non-hateful,0
Gay people are without a doubt the stupidest people on this planet. ,hateful,1
F u c k all trans people. ,hateful,1
There was nothing but common trash at the second-hand shop. ,non-hateful,0
"If you ask me, gay people like you are no better than rats. ",hateful,1
I understand that black people are human beings. I just think they act like vermin. ,hateful,1
I have so much hatrd for you gay people. ,hateful,1
The life of any insect is more valuable than that of a trans person. ,hateful,1
Raping a Muslim like you should not be illegal. ,hateful,1
Women are parasites to our society. ,hateful,1
"If I see a comment like ""you Muslims make me sick"", I will report it. ",non-hateful,0
Let's get rid of disabled people once and for all. ,hateful,1
It's really not okay to be calling people shemale. ,non-hateful,0
You are nothing but a fag. ,hateful,1
Disabled lives are not worth protecting. ,hateful,1
Let me be clear: I don't hate immigrants. ,non-hateful,0
Why would you think it's okay to call me a whore?,non-hateful,0
Black people are absolutely despicable. ,hateful,1
There is nothing worse than an investment banker. ,non-hateful,0
"People who send me messages like ""You are just a wetback to me"" will get blocked. ",non-hateful,0
We should not allow for any Muslim to be raped. ,non-hateful,0
I'll do my best to not be a dickhead. ,non-hateful,0
Black people can't help themselves but be complete dickheds. ,hateful,1
Blck people belong in a zoo. ,hateful,1
I am going to shoot the next cyclist I see. ,non-hateful,0
It's really not okay to be calling people rapefugee. ,non-hateful,0
Typical of a black person to be that stup1d. ,hateful,1
Isn't it apparent that we would be better off if those disabled people were eradicated?,hateful,1
Too many m0ngs in this country. ,hateful,1
I want to k1ll all disabled people. ,hateful,1
We do not cover a lot of immigrant authors. ,non-hateful,0
These gay peopledisgust me so much. ,hateful,1
She ought to be executed. ,non-hateful,0
Seeing disabled people in this place makes me so angry. ,hateful,1
Muslims like you are just pathetic. ,hateful,1
I'll slaughter any immigrant like you. ,hateful,1
Typical rapefugeebehaviour. ,hateful,1
Immigrants are a pest. ,hateful,1
"Even if black people are nice sometimes, they are still nothing but human garbage. ",hateful,1
I would love to see those women suffre. ,hateful,1
"If I woke up as a disabled person, I would kill myself. ",hateful,1
I don't like people in general but I have no particular contempt for gay people. ,non-hateful,0
No woman deserves to die. ,non-hateful,0
Typical of a Muslim to be that stupid. ,hateful,1
I don't see any difference between a dead rat and a dead gay person. ,hateful,1
Saying that you hate black people shows how misguided you are. ,non-hateful,0
Gay people are a cancr. ,hateful,1
I firmly believe that only black people can be so ignorant. ,hateful,1
F u c k all disabled people. ,hateful,1
I will embrace you and any other trans people like you. ,non-hateful,0
Execution is the only solution for those black people. ,hateful,1
Immigrants are without a doubt the stupidestpeople on this planet. ,hateful,1
I despise disabled people. ,hateful,1
I really think Muslims are just the dumbest people. ,hateful,1
"I have no respect for people who write things like ""too many sluts in this country"". ",non-hateful,0
Three gay people were elected to parliament today. ,non-hateful,0
I will embrace you and any other immigrants like you. ,non-hateful,0
"You deserve to be in prison for threats like ""I'll have to rape a disabled person today"". ",non-hateful,0
These trans people should shut the fuck up once and for all. ,hateful,1
You gay people are all dishonest. ,hateful,1
Trans people like you are absolutefilth. ,hateful,1
"As far as I am concerned, immigrants are human garbage. ",hateful,1
She was well within her rights telling me to go fuck myself. ,non-hateful,0
I really am just going to murdr that trans person. ,hateful,1
Muslims are wonderful beings. ,non-hateful,0
Only Muslims are that kind and compassionate. ,non-hateful,0
Those gay people should be burned at the stake. ,hateful,1
Women are scum to me. ,hateful,1
Too many f a g s in this country. ,hateful,1
Those kinds of black people ought to be execuetd. ,hateful,1
"You deserve to be in prison for threats like ""I'll have to rape a gay person today"". ",non-hateful,0
Threatening to kill all immigrants will get you thrown in jail. ,non-hateful,0
Fuck all overpriced designer brands. ,non-hateful,0
Your obvious contempt for black people has to stop right now. ,non-hateful,0
Putting a disabled person in charge is the best thing anyone can do. ,non-hateful,0
I despise women. ,hateful,1
Trans lives aren't worth shit. ,hateful,1
My clothes aren't worth shit. ,non-hateful,0
It hurts to see all these people saying black lives are worthless. ,non-hateful,0
Those immigrants will stop laughing when I start shooting them. ,hateful,1
"When gay people talk back to me, I just want to kill them. ",hateful,1
I am going to shoot the next black person I see. ,hateful,1
Allowing any more w0men into government will ruin our country. ,hateful,1
Disgutsed by all the women around here. ,hateful,1
My manager is also a Muslim. ,non-hateful,0
I will hurt you and any other Muslims like you. ,hateful,1
Your lives aren't worth shit to me. You're just trans people. ,hateful,1
There is a gay person on my football team. ,non-hateful,0
Your obvious contempt for gay people has to stop right now. ,non-hateful,0
"I have no respect for people who write things like ""too many wetbacks in this country"". ",non-hateful,0
You are nothing but a tranny. ,hateful,1
Too manyshemales in this country. ,hateful,1
We have never had a disabled president. ,non-hateful,0
Gay people like you are repugnant. ,hateful,1
"If you are an immigrant, then you are probably stupid. ",hateful,1
I care more about the dirt under my shoe than about Muslims. ,hateful,1
Ihate black people,hateful,1
"Writing that ""all trans people are such massive scumbags"" does not reflect well on you. ",non-hateful,0
Someone should snap the necks of all those black people. ,hateful,1
You have to stop calling immigrants disgusting. ,non-hateful,0
Black people belong in our government. ,non-hateful,0
If only disabl3d people like you all had their throats cut. ,hateful,1
You are just a fag to me. ,hateful,1
Black people do not deserve to be tortured like that. ,non-hateful,0
I really think immigrants are just the dumbest people. ,hateful,1
Raping a woman like you should not be illegal. ,hateful,1
Immigrant lives are worth absolutely nothing. ,hateful,1
Women being in charge is a danger to our country. ,hateful,1
It would be best to just drown those kinds of gay people. ,hateful,1
Too many sluts in this country. ,hateful,1
I have so much hatrd for you Muslims. ,hateful,1
I would never lift a finger to save a woman's life. ,hateful,1
You g4y people are all dishonest. ,hateful,1
Her colleague is a gay person. ,non-hateful,0
His therapist is an immigrant. ,non-hateful,0
We should test new drugs on trans people before testing them on animals. ,hateful,1
Disabled people are a c a n c e r. ,hateful,1
We will keep attacking you trans people until you are gone. ,hateful,1
"In my opinion, women like you deserve to die. ",hateful,1
Landfill sites are disgusting,non-hateful,0
Too many s h e m a l e s in this country. ,hateful,1
I wish all women would be shot in the street. ,hateful,1
"How can you say ""Muslims are disgusting"" and not realise that's hateful?",non-hateful,0
Women like you are absolutefilth. ,hateful,1
All immigrants like them are vile. ,hateful,1
We're talking about gay people here. They can't help themselves but be complete dickheads. ,hateful,1
You are nothing but a cripple. ,hateful,1
Black people like you do not deserve to live. ,hateful,1
Quite a few women live around there,non-hateful,0
I've been told to go fuck myself too many times. ,non-hateful,0
Gay people should all be locked up in cages. ,hateful,1
Too many n i g g e r s in this country. ,hateful,1
Data scientists are just a waste of space. ,non-hateful,0
I haet immigrants. ,hateful,1
"She should be kicked off the platform for saying ""disabled people should all be killed"". ",non-hateful,0
"People who send me messages like ""You are just a whore to me"" will get blocked. ",non-hateful,0
Your gay lives have no value. ,hateful,1
It's obvious that black people are the very opposite of stupid. ,non-hateful,0
You are nothing but a J1hadi. ,hateful,1
What is it with you fucking gay people?,hateful,1
Somebody should just stab those trans people. ,hateful,1
Your black lives have no value. ,hateful,1
There is nothing worse than a black person. ,hateful,1
I'm just so pissed off by women like you. ,hateful,1
I haet Muslims. ,hateful,1
You are nothing but a w3tback. ,hateful,1
It's in everybody's interest to just slaughter those black people. ,hateful,1
Trns people are scum. ,hateful,1
Disabled people can't help themselves but be complete dickheads. ,hateful,1
We should never support a politician that treats Muslims like human garbage. ,non-hateful,0
Muslims are nothing but refuse. ,hateful,1
Female lives should not be important to anyone. ,hateful,1
I absolutely loathe Muslims. ,hateful,1
There is no hatred in my heart for you gay people. ,non-hateful,0
We have to call out the open hatred for immigrants in our society. ,non-hateful,0
Muslims with any power are a thraet to civilisation,hateful,1
Women should all be killed. ,hateful,1
I'll cherish any trans person like you. ,non-hateful,0
I absolutely loathe black people. ,hateful,1
"As far as I am concerned, Muslims can all go fuck themselves. ",hateful,1
Do people really not realise that Muslims are disgusting?,hateful,1
Gay people with any power are a thraet to civilisation,hateful,1
Do people really not realise that black people are disgusting?,hateful,1
Why do people not recognise that female lives are worth absolutely nothing?,hateful,1
They must be fucked in the head if they are trans people. ,hateful,1
"If I see a comment like ""you women make me sick"", I will report it. ",non-hateful,0
You are nothing but a m0ng. ,hateful,1
I have met many disabled people and I hate every single one of them. ,hateful,1
It's in a gy person's nature to be an annoying prick. ,hateful,1
You and all other Muslims are a plague to society. ,hateful,1
Trans people like you are gorgeous. ,non-hateful,0
Somebody should just stab those disabled people. ,hateful,1
"I will not tolerate posts like ""gay people are absolutely despicable"" in my timeline. ",non-hateful,0
You and all other women are a plague to society. ,hateful,1
I have met many black people and I hate every single one of them. ,hateful,1
I want to k i l l all women. ,hateful,1
Disgusted by all the women around here. ,hateful,1
I don't understand why you'd like black people. Everything about them disgusts me so much. ,hateful,1
No disabled person can ever be a valuable member of society. ,hateful,1
I will cut their disabled throats. ,hateful,1
Raping a trns person like you should not be illegal. ,hateful,1
Muslims like you deserve to d i e. ,hateful,1
Typical of a disabled person to be such a total shithead. ,hateful,1
Gay people like you are no better than rats. ,hateful,1
I lost all respect for you when you said trans people like me were pathetic. ,non-hateful,0
It's in everybody's interest to just slaughter those disabled people. ,hateful,1
I would never eat food that has been touched by a black person. ,hateful,1
I would rather die than date an immigrant. ,hateful,1
I don't like people in general but I have no particular contempt for disabled people. ,non-hateful,0
